time,machine_id,cpu_util
2017-10-05 11:00:00,m16,49.066666667
2017-10-05 11:10:00,m16,49.2
2017-10-05 11:20:00,m16,48.958333333
2017-10-05 11:30:00,m16,45.716666667
2017-10-05 11:40:00,m16,50.06
2017-10-05 11:50:00,m16,49.083333333
2017-10-05 12:00:00,m16,49.16
2017-10-05 12:10:00,m16,48.618333333
2017-10-05 12:20:00,m16,49.3
2017-10-05 12:30:00,m16,49.993333333
2017-10-05 12:40:00,m16,44.3
2017-10-05 12:50:00,m16,49.026666667
2017-10-05 13:00:00,m16,50.16
2017-10-05 13:10:00,m16,42.946666667
2017-10-05 13:20:00,m16,49.353333333
2017-10-05 13:30:00,m16,49.5
2017-10-05 13:40:00,m16,46.963333333
2017-10-05 13:50:00,m16,49.221666667
2017-10-05 14:00:00,m16,49.48
2017-10-05 14:10:00,m16,49.371666667
2017-10-05 14:20:00,m16,49.821666667
2017-10-05 14:30:00,m16,43.573333333
2017-10-05 14:40:00,m16,43.396666667
2017-10-05 14:50:00,m16,42.563333333
2017-10-05 15:00:00,m16,49.59
2017-10-05 15:10:00,m16,42.126666667
2017-10-05 15:20:00,m16,44.84
2017-10-05 15:30:00,m16,39.79
2017-10-05 15:40:00,m16,50.875
2017-10-05 15:50:00,m16,48.935
2017-10-05 16:00:00,m16,49.086666667
2017-10-05 16:10:00,m16,47.455
2017-10-05 16:20:00,m16,48.166666667
2017-10-05 16:30:00,m16,51.416666667
2017-10-05 16:40:00,m16,52.42
2017-10-05 16:50:00,m16,43.325
2017-10-05 17:00:00,m16,46.373333333
2017-10-05 17:10:00,m16,51.853333333
2017-10-05 17:20:00,m16,50.546666667
2017-10-05 17:30:00,m16,48.5
2017-10-05 17:40:00,m16,50.43
2017-10-05 17:50:00,m16,49.893333333
2017-10-05 18:00:00,m16,50.53
2017-10-05 18:10:00,m16,48.775
2017-10-05 18:20:00,m16,41.79
2017-10-05 18:30:00,m16,42.33
2017-10-05 18:40:00,m16,49.476666667
2017-10-05 18:50:00,m16,48.74
2017-10-05 19:00:00,m16,51.976666667
